position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Forward,30,4,France,Angers SCO,Turkey,Kasimpasa,free transfer
Centre-Forward,31,4,France,AS Saint-Étienne,France,Montpellier HSC,free transfer
Right-Back,25,4,England,Everton FC,Germany,Hertha BSC,free transfer
Centre-Forward,34,4,Spain,Levante UD,Spain,Villarreal CF,free transfer
Attacking Midfield,19,4,France,Paris Saint-Germain,Netherlands,PSV Eindhoven,free transfer
Right-Back,27,4,France,Clermont Foot 63,France,LOSC Lille,free transfer
Centre-Forward,21,4,Italy,Atalanta BC,Italy,Hellas Verona,loan transfer
Central Midfield,25,4,Spain,SD Huesca,Spain,Getafe CF,free transfer
Defensive Midfield,25,4,England,Birmingham City,Germany,Hertha BSC,loan transfer
Central Midfield,29,4,Spain,Cádiz CF,Greece,AEK Athens,free transfer
Defensive Midfield,33,4,Germany,Borussia Dortmund,Spain,Atlético de Madrid,free transfer
Left Winger,26,4,France,Olympique Marseille,Italy,Torino FC,loan transfer
Goalkeeper,33,4,Spain,Villarreal CF,Spain,Real Valladolid CF,free transfer
Centre-Forward,22,4,Russia,FK Krasnodar,Italy,US Salernitana 1919,free transfer
Right-Back,30,4,Spain,Real Sociedad,Spain,Cádiz CF,free transfer
Right Winger,27,4,Italy,AC Milan,Spain,Valencia CF,free transfer
Left Winger,28,4,Mexico,Santos Laguna,Uruguay,CA Peñarol,loan transfer
Central Midfield,26,4,Spain,Celta de Vigo,Greece,AEK Athens,loan transfer
Centre-Back,21,4,England,Liverpool FC,England,Blackpool FC,loan transfer
Attacking Midfield,25,4,Belgium,Standard Liège,France,AS Saint-Étienne,loan transfer
Left Winger,27,4,United States,New York City FC,Saudi Arabia,Al-Raed,loan transfer
Left Winger,26,4,Spain,Sevilla FC,Netherlands,Feyenoord Rotterdam,loan transfer
Attacking Midfield,32,4,Portugal,SL Benfica,United Arab Emirates,Al-Wahda FC Abu Dhabi,free transfer
Defensive Midfield,25,4,Portugal,FC Porto,England,Reading FC,loan transfer
Defensive Midfield,24,4,England,Derby County,England,Birmingham City,loan transfer
Attacking Midfield,30,4,Italy,US Sassuolo,Italy,UC Sampdoria,free transfer
Centre-Back,25,4,Portugal,Boavista FC,Croatia,HNK Hajduk Split,loan transfer
Centre-Forward,21,4,England,Arsenal FC U21,France,Stade Reims,loan transfer
Centre-Back,20,4,Portugal,Sporting CP,Germany,TSG 1899 Hoffenheim,loan transfer
Attacking Midfield,28,4,Germany,1.FSV Mainz 05,Germany,Hertha BSC,free transfer
Centre-Forward,35,4,Italy,SSC Napoli,Turkey,Galatasaray A.S.,free transfer
Left Midfield,26,4,Spain,Getafe CF,Czech Republic,AC Sparta Prague,loan transfer
Central Midfield,24,4,England,Leicester City,England,Watford FC,loan transfer
Attacking Midfield,21,4,United States,Colorado Rapids,Netherlands,Fortuna Sittard,loan transfer
Defensive Midfield,32,4,England,Crystal Palace,England,Nottingham Forest,free transfer
Attacking Midfield,23,4,Spain,FC Barcelona,Spain,Elche CF,loan transfer
Centre-Forward,27,4,France,FC Girondins Bordeaux,France,AJ Auxerre,free transfer
Right-Back,21,4,England,Manchester City,France,Olympique Marseille,loan transfer
Centre-Back,24,4,France,AS Saint-Étienne,Greece,AEK Athens,free transfer
Left Winger,22,4,United States,Inter Miami CF,United States,New York City FC,free transfer
Centre-Back,27,4,England,Aston Villa,England,Watford FC,loan transfer
Left-Back,28,4,Italy,Udinese Calcio,England,Watford FC,loan transfer
defence,23,4,Portugal,SC Braga,Portugal,FC Famalicão,loan transfer
Right Winger,26,4,Spain,Sevilla FC,France,ESTAC Troyes,loan transfer
Right Winger,30,4,Spain,RCD Espanyol Barcelona,Spain,UD Almería,?
Attacking Midfield,27,4,Italy,Venezia FC,Italy,Genoa CFC,loan transfer
Centre-Forward,23,4,Brazil,Botafogo de Futebol e Regatas,Portugal,GD Estoril Praia,loan transfer
Centre-Forward,20,4,Italy,Spezia Calcio,Italy,US Sassuolo,loan transfer
Left Winger,21,4,Switzerland,BSC Young Boys,Netherlands,SC Cambuur-Leeuwarden,loan transfer
Right Winger,34,4,Brazil,Sport Club Corinthians Paulista,England,Fulham FC,free transfer
Left Winger,24,4,Italy,Parma Calcio 1913,Italy,Torino FC,?
Centre-Back,34,4,Italy,SS Lazio,Italy,Inter Milan,loan transfer
Left Winger,25,3,Argentina,Defensa y Justicia,Mexico,CD Cruz Azul,3
Centre-Back,18,0.6,Ecuador,Independiente del Valle,Belgium,Club Brugge KV,3
Defensive Midfield,25,2,Portugal,FC Famalicão,Italy,US Cremonese,3
Central Midfield,27,3,Turkey,Fenerbahce SK,England,Hull City,3
Defensive Midfield,28,3,Netherlands,FC Utrecht,Saudi Arabia,Damac FC,1
Right Winger,31,3,Argentina,CA Boca Juniors,Mexico,UNAM Pumas,free transfer
Right-Back,21,3,Germany,Hamburger SV,Germany,VfB Stuttgart,3
Right Winger,29,3,Brazil,São Paulo Futebol Clube,United States,Austin FC,3
Left-Back,21,3,Turkey,Kasimpasa,Turkey,Trabzonspor,3
Left-Back,20,3,Scotland,Hibernian FC,Italy,Hellas Verona,3
Central Midfield,28,3,Italy,Genoa CFC,Denmark,FC Copenhagen,3
Centre-Forward,34,2,Italy,US Sassuolo,Italy,UC Sampdoria,3
Centre-Back,21,3,Portugal,Boavista FC,France,ESTAC Troyes,3
Goalkeeper,32,2,Italy,AS Roma,England,Aston Villa,3
Centre-Forward,18,0.6,Cote d'Ivoire,ASEC Mimosas,Austria,Red Bull Salzburg,3
Right-Back,22,2,Italy,Atalanta BC,Italy,Parma Calcio 1913,3
Centre-Back,26,3,Russia,FC Sochi,Russia,Zenit St. Petersburg,3
Centre-Forward,18,1,Serbia,FK Partizan Belgrade,Spain,UD Almería,3
Central Midfield,22,2,Scotland,Aberdeen FC,Italy,Bologna FC 1909,3
Centre-Back,21,3,Austria,Rapid Vienna,Italy,US Cremonese,3
Left Winger,22,1,Germany,VfB Stuttgart,England,Burnley FC,3
Left Winger,26,3,Russia,Krylya Sovetov Samara,Russia,Spartak Moscow,3
Central Midfield,22,3,Russia,FK Krasnodar,Russia,FK Rostov,3
Right Winger,23,3,Italy,Genoa CFC,Italy,Spezia Calcio,2
Goalkeeper,28,3,Italy,Spezia Calcio,Italy,SS Lazio,2
Centre-Back,31,3,Germany,Hertha BSC,Belgium,Club Brugge KV,2
Left Winger,24,3,Japan,Yokohama F. Marinos,Scotland,Celtic FC,1
Attacking Midfield,22,3,Germany,Eintracht Frankfurt,Germany,FC Schalke 04,1
Centre-Forward,28,3,United States,Minnesota United FC,France,Angers SCO,1
Centre-Forward,29,3,Germany,TSG 1899 Hoffenheim,Germany,1. FC Köln,1
Right Winger,28,3,Turkey,Göztepe,Belgium,KVC Westerlo,1
Left-Back,20,3,Italy,AS Roma,Switzerland,FC Basel 1893,1
Central Midfield,23,3,Denmark,FC Nordsjaelland,Italy,Venezia FC,0.51
Defensive Midfield,27,3,Serbia,FK Partizan Belgrade,Russia,CSKA Moscow,0.5
Centre-Forward,27,3,Spain,SD Huesca,Spain,UD Las Palmas,0.5
Left Winger,25,3,Belgium,Royal Antwerp FC,Belgium,KV Kortrijk,0.5
Right Winger,23,3,Turkey,Galatasaray A.S.,Italy,Pisa Sporting Club,0.15
Right Winger,22,3,Russia,FK Krasnodar,Israel,Hapoel Beer Sheva,0.15
Left Winger,19,3,Netherlands,Ajax Amsterdam,Turkey,Trabzonspor,0.15
Centre-Back,23,3,Russia,Dynamo Moscow,Russia,Krylya Sovetov Samara,0.025
Right Winger,31,3,Italy,Juventus FC,United States,Los Angeles Galaxy,free transfer
Right-Back,19,3,England,Derby County,Italy,Udinese Calcio,free transfer
Centre-Back,24,3,Austria,Red Bull Salzburg,Germany,Eintracht Frankfurt,free transfer
Central Midfield,28,3,Germany,SC Freiburg,Germany,1.FC Union Berlin,free transfer
Central Midfield,27,3,England,Blackburn Rovers,England,AFC Bournemouth,free transfer
Centre-Forward,25,3,Portugal,Vitória Guimarães SC,England,Hull City,free transfer
Left-Back,26,3,France,Montpellier HSC,Portugal,SL Benfica,free transfer
Right Winger,29,3,France,Nîmes Olympique,Turkey,Alanyaspor,free transfer
Right-Back,22,3,Italy,Parma Calcio 1913,France,Stade Reims,?
Centre-Back,28,3,Germany,Arminia Bielefeld,United States,St. Louis CITY SC,free transfer
Right Winger,26,3,Croatia,HNK Rijeka,Turkey,Konyaspor,?
Right-Back,21,3,Italy,AS Roma,Belgium,KVC Westerlo,loan transfer
Centre-Forward,30,3,Mexico,Deportivo Toluca,Mexico,Club Tijuana,free transfer
Central Midfield,21,3,Mexico,Club Tijuana,Mexico,Deportivo Toluca,?
Left Winger,29,3,Mexico,Club León FC,Mexico,Puebla FC,loan transfer
Left-Back,21,3,England,Derby County,Germany,SV Werder Bremen,free transfer
Centre-Forward,21,3,Italy,US Sassuolo,Italy,Frosinone Calcio,loan transfer
Centre-Forward,20,3,Italy,AC Milan,Italy,US Lecce,loan transfer
Goalkeeper,25,3,Italy,Inter Milan,Italy,US Cremonese,loan transfer
Right Winger,27,3,Mexico,CF América,Spain,Sporting Gijón,loan transfer
Left Winger,21,3,England,Tottenham Hotspur,England,Sunderland AFC,?
Centre-Back,20,3,Italy,Juventus FC,Italy,Genoa CFC,loan transfer
Left-Back,25,3,Brazil,Fluminense Football Club,Turkey,MKE Ankaragücü,free transfer
Centre-Back,25,3,Portugal,SL Benfica,Netherlands,Vitesse Arnhem,loan transfer
Centre-Back,28,3,Italy,AC Milan,Italy,Spezia Calcio,loan transfer
Centre-Back,22,3,Brazil,Club Athletico Paranaense,Brazil,Goiás Esporte Clube,loan transfer
Left Winger,27,3,United States,Austin FC,Mexico,Santos Laguna,free transfer
Left-Back,32,3,Ukraine,Shakhtar Donetsk,France,LOSC Lille,free transfer
Central Midfield,30,3,Italy,Inter Milan,Italy,SS Lazio,free transfer
Central Midfield,27,3,Argentina,Club Atlético Independiente,Ukraine,SK Dnipro-1,free transfer
Left Winger,33,3,Italy,Inter Milan,France,Olympique Marseille,free transfer
Defensive Midfield,26,3,France,OGC Nice,Brazil,Botafogo de Futebol e Regatas,free transfer
Central Midfield,25,3,Greece,Olympiacos Piraeus,Turkey,MKE Ankaragücü,loan transfer
Central Midfield,23,3,Canada,Vancouver Whitecaps FC,Brazil,Fortaleza Esporte Clube,loan transfer
Attacking Midfield,29,3,France,FC Metz,Qatar,Al-Gharafa SC,free transfer
Centre-Forward,26,3,England,Reading FC,Italy,Genoa CFC,loan transfer
Centre-Forward,24,3,England,Wolverhampton Wanderers,Italy,Como 1907,?
Left Winger,28,3,Brazil,Clube de Regatas do Flamengo,Saudi Arabia,Ettifaq FC,?
Centre-Forward,23,3,Italy,Genoa CFC,Italy,Parma Calcio 1913,?
Left Winger,27,3,Italy,Juventus FC,Italy,FC Empoli,loan transfer
Centre-Forward,20,3,Italy,Inter Milan,Italy,SSC Bari,loan transfer
Right Winger,22,3,England,Manchester United,England,Birmingham City,?
Goalkeeper,22,3,Turkey,Fenerbahce SK,Portugal,Portimonense SC,free transfer
Central Midfield,22,3,England,Barnsley FC,England,Millwall FC,loan transfer
Centre-Forward,23,2,Italy,Juventus FC,United States,New England Revolution,3
Right Winger,29,3,Turkey,Fatih Karagümrük,Turkey,Sivasspor,free transfer
Centre-Forward,25,3,Germany,TSG 1899 Hoffenheim,United States,St. Louis CITY SC,3
Attacking Midfield,24,3,Spain,Sporting Gijón,Greece,Aris Thessaloniki,3
Centre-Back,23,1,Sweden,Djurgårdens IF,Italy,Hellas Verona,3
Centre-Forward,25,3,Belgium,KAA Gent,Belgium,RSC Charleroi,1
Right-Back,28,3,Germany,Arminia Bielefeld,Germany,FC Schalke 04,free transfer
Left Winger,22,3,Italy,Atalanta BC,Turkey,Fatih Karagümrük,loan transfer
Defensive Midfield,28,3,Monaco,AS Monaco,France,RC Strasbourg Alsace,3
Left Winger,20,2,Norway,Rosenborg BK,Italy,US Sassuolo,3
Central Midfield,24,3,Netherlands,Sparta Rotterdam,Italy,US Sassuolo,3
Left-Back,21,2,Belgium,Sint-Truidense VV,Italy,FC Empoli,3
Central Midfield,23,2,Italy,Udinese Calcio,Italy,US Salernitana 1919,3
Centre-Forward,30,2,Italy,FC Empoli,Italy,AC Monza,3
Centre-Back,24,3,Belgium,RSC Anderlecht,Italy,Parma Calcio 1913,3
Centre-Back,21,1,Brazil,Club Athletico Paranaense,Russia,Lokomotiv Moscow,3
Right Midfield,20,3,Sweden,IFK Norrköping,Belgium,RSC Anderlecht,3
Left-Back,21,1,Netherlands,Twente Enschede FC,Italy,Parma Calcio 1913,3
Right Winger,23,3,Belgium,KAA Gent,Serbia,Red Star Belgrade,3
Central Midfield,20,0.5,Portugal,Vitória Guimarães SC,Spain,UD Almería,3
Attacking Midfield,20,2,Switzerland,FC Basel 1893,United Arab Emirates,Al-Ain FC,3
Goalkeeper,23,2,England,Manchester City,England,Burnley FC,3
Centre-Back,22,1,Paraguay,Club Guaraní,Russia,Dynamo Moscow,3
Centre-Back,21,3,France,FC Toulouse,France,LOSC Lille,3
Right-Back,21,1,Denmark,Silkeborg IF,Belgium,KRC Genk,3
Right-Back,20,2,France,Paris Saint-Germain,France,ESTAC Troyes,3
Centre-Forward,21,1,Spain,RCD Mallorca,England,Middlesbrough FC,3
Central Midfield,21,1,Denmark,Aarhus GF,Norway,FK Bodø/Glimt,3
Left Winger,22,2,Italy,Cagliari Calcio,Italy,Pisa Sporting Club,3
Centre-Back,29,2,Turkey,Fenerbahce SK,Saudi Arabia,Ettifaq FC,3
Centre-Forward,17,-,Portugal,Sporting CP U17,Italy,Udinese Primavera,3
Left-Back,19,0.5,Greece,AEK Athens,Russia,Lokomotiv Moscow,3
Left Winger,25,1,Denmark,Silkeborg IF,Denmark,Bröndby IF,3
Centre-Back,25,3,England,Brighton & Hove Albion,England,Middlesbrough FC,2
Centre-Back,21,3,Croatia,HNK Rijeka,Germany,Eintracht Frankfurt,2
Centre-Forward,28,3,Greece,PAOK Thessaloniki,Scotland,Rangers FC,2
Left-Back,27,3,Italy,Atalanta BC,Italy,Spezia Calcio,2
Right Winger,27,3,Moldova,FC Sheriff Tiraspol,Hungary,Ferencvárosi TC,2
Right Winger,27,3,England,Watford FC,Greece,Olympiacos Piraeus,2
Left Winger,27,3,Portugal,Vitória Guimarães SC,Portugal,Sporting CP,2
Centre-Back,28,3,France,Clermont Foot 63,France,Angers SCO,2
Right-Back,20,3,Portugal,Boavista FC,Brazil,Santos FC,2
Central Midfield,24,3,Germany,Borussia Mönchengladbach,Germany,Hamburger SV,1
Centre-Forward,27,3,Russia,Dynamo Moscow,Russia,FK Rostov,1
Central Midfield,24,3,France,Stade Reims,Cyprus,Omonia Nicosia,1
Centre-Back,24,3,Portugal,Vitória Guimarães SC,Spain,Rayo Vallecano,1
Right-Back,26,3,Croatia,GNK Dinamo Zagreb,Italy,FC Empoli,1
Central Midfield,22,3,Spain,Granada CF,Spain,Real Valladolid CF,1
Defensive Midfield,20,3,Germany,RB Leipzig,Germany,1. FC Köln,1
Attacking Midfield,25,3,Italy,Ascoli Calcio,Italy,UC Sampdoria,1
Centre-Forward,30,3,Turkey,Fatih Karagümrük,Serbia,Red Star Belgrade,1
Centre-Forward,21,3,Spain,Real Sociedad B,Spain,Celta de Vigo,1
Goalkeeper,33,3,Spain,Valencia CF,Netherlands,NEC Nijmegen,1
Right Midfield,28,3,United States,D.C. United,Canada,Vancouver Whitecaps FC,0.818
Defensive Midfield,28,3,Brazil,Sport Club Internacional,Mexico,Atlético de San Luis,0.5
Centre-Back,25,3,Italy,SSC Napoli,Italy,FC Empoli,0.5
Defensive Midfield,25,3,Spain,Levante UD,Spain,Real Valladolid CF,0.5
Attacking Midfield,26,3,Germany,Eintracht Frankfurt,Italy,Hellas Verona,0.5
Centre-Forward,22,3,United States,Inter Miami CF,United States,Philadelphia Union,0.455
Centre-Back,30,3,Belgium,Royal Antwerp FC,Israel,Maccabi Haifa,0.39
Goalkeeper,30,3,Germany,Hertha BSC,Germany,FC Schalke 04,0.3
Central Midfield,29,3,Portugal,SC Braga,United Arab Emirates,Al-Bataeh CSC,0.2
Right Winger,32,3,Spain,Real Madrid,United States,Los Angeles FC,free transfer
Left-Back,28,3,Argentina,CA River Plate,Spain,Getafe CF,free transfer
Centre-Forward,29,3,England,Norwich City,Croatia,GNK Dinamo Zagreb,free transfer
Defensive Midfield,28,3,Spain,Celta de Vigo,England,West Bromwich Albion,free transfer
Left Winger,19,3,England,Manchester City U21,Germany,Borussia Dortmund II,free transfer
Right-Back,25,3,Belgium,Royal Antwerp FC,Germany,Eintracht Frankfurt,free transfer
Centre-Forward,26,3,United Arab Emirates,Al-Wasl Sports Club,Turkey,Gaziantep FK,?
Right-Back,24,3,France,FC Lorient,Spain,UD Almería,free transfer
Left-Back,23,3,Mexico,Mazatlán FC,Mexico,Club Tijuana,?
Right-Back,26,3,Serbia,Red Star Belgrade,Russia,CSKA Moscow,free transfer
Centre-Forward,27,3,Italy,Cagliari Calcio,Russia,Spartak Moscow,free transfer
Centre-Forward,30,3,Czech Republic,FC Viktoria Plzen,Saudi Arabia,Al-Wehda FC,free transfer
Left-Back,27,3,England,Birmingham City,Germany,1. FC Köln,free transfer
Centre-Back,25,3,Portugal,Vitória Guimarães SC,Croatia,HNK Hajduk Split,loan transfer
Left-Back,23,3,Belgium,Club Brugge KV,France,Montpellier HSC,loan transfer
Left Midfield,22,3,England,Wolverhampton Wanderers U21,England,Middlesbrough FC,loan transfer
Centre-Back,28,3,England,Blackburn Rovers,England,Middlesbrough FC,free transfer
Centre-Forward,31,3,Italy,Genoa CFC,Italy,FC Empoli,free transfer
Attacking Midfield,23,3,Argentina,CA Boca Juniors,Argentina,CA San Lorenzo de Almagro,loan transfer
Centre-Forward,29,3,Spain,UD Las Palmas,Turkey,MKE Ankaragücü,free transfer
Right-Back,18,3,Portugal,Sporting CP,Portugal,GD Estoril Praia,loan transfer
Right Winger,20,3,Italy,Hellas Verona,Italy,SS Lazio,loan transfer
Central Midfield,19,3,France,ESTAC Troyes,Belgium,Lommel SK,loan transfer
Centre-Back,19,3,England,Leeds United,England,Millwall FC,loan transfer
Defensive Midfield,28,3,Italy,Frosinone Calcio,Turkey,Fatih Karagümrük,loan transfer
Centre-Back,23,3,Spain,Real Sociedad,Netherlands,FC Utrecht,loan transfer
Goalkeeper,25,3,France,Stade Brestois 29,France,Valenciennes FC,loan transfer
Centre-Forward,21,3,France,OGC Nice,France,FC Nantes,loan transfer
Goalkeeper,27,3,Italy,UC Sampdoria,Italy,US Lecce,loan transfer
Centre-Back,20,3,England,Everton FC,Netherlands,PSV Eindhoven,loan transfer
Right Winger,21,3,Spain,Atlético de Madrid,Spain,Real Zaragoza,loan transfer
Goalkeeper,22,3,Monaco,AS Monaco,Belgium,Cercle Brugge ,loan transfer
Goalkeeper,26,3,Spain,Celta de Vigo,France,Olympique Marseille,loan transfer
Centre-Forward,23,3,Turkey,Besiktas JK,Italy,Genoa CFC,free transfer
Attacking Midfield,20,3,England,Chelsea FC U21,England,Huddersfield Town,loan transfer
Central Midfield,26,3,France,Stade Rennais FC,Portugal,GD Estoril Praia,free transfer
Centre-Back,24,3,Brazil,Sport Club do Recife,Brazil,Botafogo de Futebol e Regatas,free transfer
Right-Back,21,3,Brazil,Sport Club Internacional,Belgium,Cercle Brugge ,loan transfer
Attacking Midfield,28,3,Argentina,Club Atlético Independiente,Brazil,América Futebol Clube (MG),loan transfer
Left Winger,20,3,England,Aston Villa,Wales,Cardiff City,loan transfer
Centre-Forward,21,3,Spain,Celta de Vigo,Netherlands,RKC Waalwijk,loan transfer
Centre-Back,33,3,Argentina,CA Boca Juniors,Spain,Sporting Gijón,free transfer
Central Midfield,25,3,Russia,Rubin Kazan,"Korea, South",FC Seoul,loan transfer
Central Midfield,25,3,Russia,Rubin Kazan,Greece,Olympiacos Piraeus,free transfer
Right-Back,31,3,Spain,Villarreal CF,England,Watford FC,free transfer
Centre-Back,25,3,Italy,ACF Fiorentina,Netherlands,Feyenoord Rotterdam,loan transfer
Central Midfield,19,3,England,Liverpool FC U21,England,Blackburn Rovers,loan transfer
Central Midfield,31,3,Italy,Juventus FC,France,OGC Nice,free transfer
Goalkeeper,18,3,England,Chelsea FC,United States,Chicago Fire FC,loan transfer
Attacking Midfield,25,3,France,Dijon FCO,Turkey,Kasimpasa,loan transfer
Centre-Forward,21,3,Spain,Atlético de Madrid,Spain,Rayo Vallecano,loan transfer
Centre-Forward,24,3,England,Manchester City,Brazil,São Paulo Futebol Clube,loan transfer
Centre-Forward,28,3,Germany,Eintracht Frankfurt,Spain,Celta de Vigo,?
Attacking Midfield,24,3,Spain,RCD Espanyol Barcelona,Spain,Granada CF,free transfer
Centre-Forward,25,3,Italy,Atalanta BC,Italy,FC Empoli,loan transfer
Goalkeeper,33,3,Spain,FC Barcelona,England,AFC Bournemouth,free transfer
Attacking Midfield,26,3,Brazil,Sport Club Internacional,Brazil,Coritiba Foot Ball Club,free transfer
Centre-Forward,29,3,Turkey,Fenerbahce SK,Belgium,KRC Genk,loan transfer
Centre-Forward,26,3,Mexico,Deportivo Toluca,Mexico,CD Cruz Azul,loan transfer
Centre-Back,22,3,Monaco,AS Monaco,Belgium,Cercle Brugge ,loan transfer
Central Midfield,22,3,Portugal,FC Porto,Portugal,Casa Pia AC,loan transfer
Centre-Forward,26,3,Portugal,SC Braga,Belgium,Oud-Heverlee Leuven,loan transfer
Attacking Midfield,18,3,Germany,Bayern Munich,Netherlands,Vitesse Arnhem,loan transfer
Defensive Midfield,25,3,France,AS Saint-Étienne,Spain,CD Leganés,loan transfer
Attacking Midfield,19,3,France,Paris Saint-Germain,England,Sunderland AFC,loan transfer
Left-Back,28,3,England,Fulham FC,France,OGC Nice,loan transfer
Central Midfield,27,3,Belgium,RSC Anderlecht,Denmark,FC Midtjylland,loan transfer
Centre-Forward,19,3,Germany,VfB Stuttgart,Denmark,FC Nordsjaelland,loan transfer
Centre-Forward,22,3,England,Brentford FC,England,Burnley FC,loan transfer
Central Midfield,-,3,Italy,Parma Calcio 1913,Italy,Reggina 1914,loan transfer
Central Midfield,28,3,Italy,Parma Calcio 1913,Italy,Reggina 1914,loan transfer
Right Winger,26,3,England,Watford FC,Italy,UC Sampdoria,loan transfer
Left Winger,25,3,Spain,Valencia CF,Spain,Girona FC,free transfer
Centre-Back,26,3,England,Barnsley FC,England,Huddersfield Town,?
Left-Back,34,3,Spain,Real Madrid,Greece,Olympiacos Piraeus,free transfer
Attacking Midfield,22,-,England,Milton Keynes Dons,England,Burnley FC,2
Attacking Midfield,23,1,Uruguay,Montevideo City Torque,South Africa,Mamelodi Sundowns FC,2
Central Midfield,20,0.8,Germany,FC Ingolstadt 04,Germany,SC Freiburg,2
Attacking Midfield,32,2,Turkey,Besiktas JK,Brazil,Club de Regatas Vasco da Gama,free transfer
Right-Back,23,2,Ecuador,Barcelona SC Guayaquil,Mexico,Club León FC,2
Left Winger,24,2,Ecuador,CS Emelec,Mexico,CF Monterrey,2
Centre-Forward,25,2,Denmark,FC Midtjylland,Germany,VfB Stuttgart,2
Centre-Forward,32,2,Turkey,Adana Demirspor,Switzerland,FC Sion,2
Centre-Back,29,2,Brazil,Clube de Regatas do Flamengo,Turkey,Fenerbahce SK,1
Left Winger,19,2,Italy,SS Lazio,Italy,Ternana Calcio,0.33
Defensive Midfield,24,2,England,Huddersfield Town,Netherlands,FC Volendam,free transfer
Attacking Midfield,24,2,Russia,CSKA Moscow,Russia,FK Krasnodar,free transfer
Goalkeeper,28,2,Germany,RB Leipzig,France,FC Lorient,?
Central Midfield,25,2,Argentina,Club Atlético Talleres,Argentina,CA San Lorenzo de Almagro,free transfer
Left Winger,29,2,China,Dalian Professional,Turkey,Antalyaspor,free transfer
Goalkeeper,22,2,Argentina,Club Atlético Lanús,Argentina,CA Newell's Old Boys,loan transfer
Right-Back,28,2,Netherlands,Ajax Amsterdam,Netherlands,FC Utrecht,free transfer
Centre-Back,24,2,Italy,Hellas Verona,Greece,Olympiacos Piraeus,loan transfer
Right-Back,25,2,Italy,UC Sampdoria,Italy,Hellas Verona,loan transfer
Centre-Back,30,2,Italy,Torino FC,Italy,AC Monza,loan transfer
Centre-Forward,23,2,Brazil,Sport Club do Recife,Italy,US Salernitana 1919,2
Centre-Back,23,1,Morocco,Wydad Casablanca,France,Stade Brestois 29,2
Centre-Forward,28,2,Switzerland,FC Zürich,Italy,US Lecce,free transfer
Attacking Midfield,31,2,Qatar,Al-Gharafa SC,Qatar,Al-Ahli SC,free transfer
Right Winger,26,2,Turkey,Trabzonspor,Serbia,FK Partizan Belgrade,free transfer
Centre-Forward,30,2,Italy,AC Monza,Italy,Como 1907,loan transfer
Centre-Back,25,2,Belgium,KAS Eupen,France,Stade Reims,2
Centre-Forward,22,2,Spain,Atlético de Madrid,Spain,CD Tenerife,loan transfer
Centre-Back,26,2,England,Liverpool FC,Scotland,Rangers FC,4
Left-Back,22,2,Argentina,CA San Lorenzo de Almagro,Spain,Elche CF,4
Centre-Forward,22,1,Serbia,FK Cukaricki,Russia,Lokomotiv Moscow,2
Goalkeeper,31,2,Brazil,São Paulo Futebol Clube,Mexico,Deportivo Toluca,2
Left Midfield,23,2,Switzerland,FC Luzern,Switzerland,BSC Young Boys,2
Right-Back,24,2,Portugal,SL Benfica,Italy,AC Monza,2
Central Midfield,22,2,Austria,Rapid Vienna,Croatia,GNK Dinamo Zagreb,2
Right-Back,21,2,Germany,1.FC Nuremberg,Germany,VfL Wolfsburg,2
Attacking Midfield,23,2,Netherlands,Fortuna Sittard,England,Millwall FC,2
Centre-Forward,21,1,Netherlands,Excelsior Rotterdam,France,FC Toulouse,2
Centre-Forward,22,0.9,Chile,CD Universidad Católica,Italy,US Salernitana 1919,2
Centre-Forward,24,0.9,Belgium,KV Oostende,Belgium,RWD Molenbeek,2
Defensive Midfield,22,2,Chile,Unión Española,Russia,CSKA Moscow,2
Central Midfield,27,2,Bulgaria,Ludogorets Razgrad,Brazil,Club Athletico Paranaense,2
Centre-Forward,27,2,Germany,Bayer 04 Leverkusen,Italy,Venezia FC,2
Left-Back,26,2,England,Huddersfield Town,England,Nottingham Forest,2
Left Winger,26,2,Mexico,CF América,Mexico,FC Juárez,2
Centre-Forward,26,2,Germany,1.FC Union Berlin,Germany,1.FSV Mainz 05,2
Left Winger,19,2,Denmark,FC Copenhagen,Austria,SK Sturm Graz,2
Left-Back,25,2,Netherlands,AZ Alkmaar,Germany,FC Schalke 04,2
Centre-Forward,32,2,Italy,Benevento Calcio,Italy,Cagliari Calcio,2
Left Winger,26,2,France,Nîmes Olympique,Greece,AEK Athens,2
Centre-Forward,24,2,Denmark,SönderjyskE,Turkey,Antalyaspor,1
Central Midfield,25,2,Italy,Ascoli Calcio,Italy,Palermo FC,1
Left Winger,30,2,Germany,Eintracht Frankfurt,Greece,AEK Athens,1
Defensive Midfield,22,2,Croatia,HNK Gorica,Latvia,Riga FC,1
Right-Back,22,2,Italy,Pisa Sporting Club,Italy,AC Monza,1
Left Winger,23,2,France,Dijon FCO,Turkey,Istanbul Basaksehir FK,1
Centre-Forward,23,2,Belarus,Shakhter Soligorsk,United Arab Emirates,Al-Nasr SC (UAE),1
Left Winger,30,2,Spain,RCD Espanyol Barcelona,China,Shanghai Port,1
Centre-Forward,26,2,Argentina,Defensa y Justicia,Brazil,Sociedade Esportiva Palmeiras,1
Attacking Midfield,22,2,Portugal,B SAD,Poland,Lech Poznan,1
Central Midfield,31,2,Spain,Real Valladolid CF,Spain,Cádiz CF,1
Attacking Midfield,27,2,Germany,TSG 1899 Hoffenheim,Greece,AEK Athens,1
Centre-Back,22,2,Spain,Real Madrid,Spain,Cádiz CF,1
